companyName,website,employeeRank,employeeName,employeeTitle,seniority,function,profileUrl,companyLinkedIn,sourceType,sourceUrl,confidence
Destination Canada,http://www.destinationcanada.com,1,Destination Development,,,,,http://www.linkedin.com/company/destination-canada,name_block,https://www.destinationcanada.com/en-ca,medium
Destination Canada,http://www.destinationcanada.com,2,About Us,,,,,http://www.linkedin.com/company/destination-canada,name_block,https://www.destinationcanada.com/en-ca,medium
Destination Canada,http://www.destinationcanada.com,3,Our Markets,,,,,http://www.linkedin.com/company/destination-canada,name_block,https://www.destinationcanada.com/en-ca,medium
Destination Canada,http://www.destinationcanada.com,4,Our Team,,,,,http://www.linkedin.com/company/destination-canada,name_block,https://www.destinationcanada.com/en-ca,medium
Destination Canada,http://www.destinationcanada.com,5,Collaborate With Us,,,,,http://www.linkedin.com/company/destination-canada,name_block,https://www.destinationcanada.com/en-ca,medium
Launchpad Technologies Inc.,http://www.golaunchpad.io,1,Experience Digital Transformation Excellence,,,,,http://www.linkedin.com/company/golaunchpad,name_block,https://www.golaunchpad.io/,medium
Launchpad Technologies Inc.,http://www.golaunchpad.io,2,Managed Services,,,,,http://www.linkedin.com/company/golaunchpad,name_block,https://www.golaunchpad.io/,medium
Launchpad Technologies Inc.,http://www.golaunchpad.io,3,People First Philosophy,,,,,http://www.linkedin.com/company/golaunchpad,name_block,https://www.golaunchpad.io/,medium
Launchpad Technologies Inc.,http://www.golaunchpad.io,4,Hone Your Craft,,,,,http://www.linkedin.com/company/golaunchpad,name_block,https://www.golaunchpad.io/,medium
Launchpad Technologies Inc.,http://www.golaunchpad.io,5,Meet The Leadership Team.,,,,,http://www.linkedin.com/company/golaunchpad,name_block,https://www.golaunchpad.io/,medium
Launchpad Technologies Inc.,http://www.golaunchpad.io,6,Bruce Qi,Founder,C-level/Founder,,,http://www.linkedin.com/company/golaunchpad,name_block,https://www.golaunchpad.io/,medium
Launchpad Technologies Inc.,http://www.golaunchpad.io,7,Gord Boisvert,Director,C-level/Founder,Engineering,,http://www.linkedin.com/company/golaunchpad,name_block,https://www.golaunchpad.io/,medium
